key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
LITERARY_ADVISORS,LITERATURBERATUNG,LITERARY ADVISORS,ASESORES LITERARIOS,ASESORÍA LITERARIA,CONSEILLERS EN LITTÉRATURE,CONSULENTI LETTERARI,文語アドバイザー,언어 자문,DORADCY DS. LTIERATURY,CONSULTORES LITERÁRIOS,EDEBÎ DANIŞMANLAR,文學顧問
Credits_Detectives,DIE ÜBLICHEN VERDÄCHTIGEN,THE REGULAR DETECTIVES,LOS DETECTIVES REGULARES,LOS DETECTIVES DE SIEMPRE,LES DÉTECTIVES ORDINAIRES,I NOSTRI ASSIDUI DETECTIVE,レギュラー探偵,THE REGULAR DETECTIVES,ZWYCZAJOWI DETEKTYWI,OS DETETITVES REGULARES,MÜDAVİM DEDEKTİFLER,一般偵探
MUSIC_CREDITS,MUSIK,MUSIC,MÚSICA,MÚSICA,MUSIQUE,MUSICA,音楽,음악,MUZYKA,MÚSICA,MÜZİK,音樂
SOUND_CREDITS,SOUNDEFFEKTE,SOUND EFFECTS,EFECTOS DE SONIDO,EFECTOS DE SONIDO,EFFETS SONORES,EFFETTI SONORI,音響効果,음향효과,EFEKTY DŹWIĘKOWE,EFEITOS SONOROS,SES EFEKTLERİ,音效
PROGRAMMING_CREDITS,PROGRAMMIERUNG,PROGRAMMING,PROGRAMACIÓN,PROGRAMACIÓN,PROGRAMMATION,PROGRAMMAZIONE,プログラミング,프로그래밍,PROGRAMOWANIE,PROGRAMAÇÃO,YAZILIM,程式設計
TESTING_CREDITS,TESTEN,TESTING,PRUEBAS,PRUEBAS,TEST,TEST,テスト,테스트,TESTOWANIE,TESTES,TEST,測試
SPECIAL_THANKS,BESONDEREN DANK,Special thanks to,AGRADECIMIENTOS ESPECIALES,AGRADECIMIENTOS ESPECIALES,REMERCIEMENTS SPÉCIAUX,RINGRAZIAMENTI SPECIALI,特別な感謝,특별 감사,SPECJALNE PODZIĘKOWANIA,AGRADECIMENTOS ESPECIAIS,ÖZEL TEŞEKKÜRLER,特別感謝
CREATED_BY,ERSTELLT VON,CREATED BY,CREADO POR,CREADO POR,CRÉÉ PAR,CREATO DA,作成者,생성자,STWORZONE PRZEZ,CRIADO POR,OLUŞTURAN,由...創建
GRAPHIC_DESIGN,GRAFIKDESIGN,GRAPHIC DESIGN & ANIMATION,DISEÑO GRÁFICO,DISEÑO GRÁFICO,CONCEPTION DES GRAPHISMES,DESIGN GRAFICO,グラフィックデザイン,그래픽 디자인,PROJEKT GRAFIKI,DESIGN GRÁFICO,GRAFİK TASARIM,平面設計
<!MissingKey:SPECIAL THANKS TO>,"BESONDEREN DANK AN:
UNSERE FANTASTISCHE DISCORD-DETEKTIV-COMMUNITY UND ALLE, DIE BEIM TESTEN DES SPIELS UND DURCH FEEDBACK ZUM SPIEL GEHOLFEN HABEN","SPECIAL THANKS TO
OUR AMAZING DISCORD DETECTIVE COMMUNITY AND EVERYONE WHO HELPED TESTING THE GAME AND SHARING FEEDBACK","AGRADECIMIENTO ESPECIAL A
NUESTRA INCREÍBLE COMUNIDAD DE DETECTIVES DE DISCORD Y A TODOS LOS QUE HAN AYUDADO A PROBAR EL JUEGO Y DAR SU OPINIÓN","UN AGRADECIMIENTO ESPECIAL A
NUESTRA INCREÍBLE COMUNIDAD DE DETECTIVES DE DISCORD Y A QUIENES AYUDARON A PROBAR EL JUEGO Y A COMPARTIR SUS COMENTARIOS","REMERCIEMENTS SPÉCIAUX À
NOTRE INCROYABLE COMMUNAUTÉ DE DÉTECTIVES SUR DISCORD ET TOUS CEUX QUI ONT AIDÉ À TESTER LE JEU ET ENVOYÉ DES AVIS","UN GRAZIE SPECIALE
ALLA NOSTRA FENOMENALE COMMUNITY INVESTIGATIVA SU DISCORD E A TUTTI COLORO CHE CI HANNO DATO UNA MANO TESTANDO IL GIOCO E FORNENDOCI LA LORO OPINIONE","謝辞
素晴らしいDISCORDの探偵コミュニティの皆さん、そしてゲームテストやフィードバック共有にご協力いただいた皆さん、本当にありがとうございました","감사한 분들:
DISCORD 버그 신고 커뮤니티와 게임을 테스트하고 의견을 주신 모든 분들께 감사드립니다. ","SZCZEGÓLNE PODZIĘKOWANIA DLA
NASZEJ NIESAMOWITEJ SPOŁECZNOŚCI DETEKTYWÓW NA DISCORDZIE I WSZYSTKICH, KTÓRZY POMOGLI W TESTOWANIU GRY ORAZ PODZIELILI SIĘ Z NAMI SWOIMI OPINIAMI.","AGRADECIMENTOS ESPECIAIS À
NOSSA INCRÍVEL COMUNIDADE DE DETETIVES DO DISCORD E A TODOS QUE AJUDARAM A TESTAR O JOGO E FIZERAM SEUS COMENTÁRIOS","ÖZEL TEŞEKKÜRLER
MUHTEŞEM DISCORD DEDEKTİF TOPLULUĞUMUZ VE OYUNU TEST ETMEYE VE GERİ BİLDİRİM PAYLAŞMAYA YARDIM EDEN HERKES","特別感謝
我們神奇的DISCORD偵探社群，以及協助測試遊戲並分享意見回饋的每位朋友"
CREATIVE_TEAM,SCHREIBTEAM,WRITING TEAM,EQUIPO DE ESCRITURA,EQUIPO DE ESCRITURA,ÉQUIPE DE RÉDACTION,TEAM DI SCRITTURA,執筆チーム,집필 팀,ZESPÓŁ PISARSKI,EQUIPE DE REDAÇÃO,YAZI EKİBİ,撰寫團隊
<!MissingKey:Discord Testers>,Discord-Tester,Discord Testers,Testers de Discord,Testers de Discord,Testeurs Discord,Tester su Discord,Discordテスター,Discord 테스터,Testerzy z Discorda,Testadores do Discord,Discord Test Ekibi,Discord測試員
